PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
422,1988-89,00,1610612760,SEA,24.0,43,0,291,29,83,0.349,1,9,0.111,9,16,0.563,11,13,24,73,21,3,18,34,68
422,1989-90,00,1610612760,SEA,25.0,53,10,575,55,142,0.387,1,4,0.25,29,40,0.725,21,22,43,162,26,1,48,55,140
422,1990-91,00,1610612743,DEN,26.0,21,4,217,29,68,0.426,0,4,0.0,21,32,0.656,9,12,21,77,14,2,27,22,79
422,1990-91,00,1610612759,SAN,26.0,47,10,742,101,209,0.483,1,5,0.2,38,55,0.691,13,43,56,153,33,2,47,40,241
422,1990-91,00,0,TOT,26.0,68,14,959,130,277,0.469,1,9,0.111,59,87,0.678,22,55,77,230,47,4,74,62,320
422,1991-92,00,1610612759,SAN,27.0,20,14,463,55,108,0.509,1,5,0.2,24,32,0.75,5,30,35,100,21,3,45,43,135
422,1991-92,00,1610612745,HOU,27.0,49,1,772,103,222,0.464,3,10,0.3,42,69,0.609,8,37,45,166,40,6,65,46,251
422,1991-92,00,0,TOT,27.0,69,15,1235,158,330,0.479,4,15,0.267,66,101,0.653,13,67,80,266,61,9,110,89,386
422,1992-93,00,1610612759,SAN,28.0,75,49,2030,256,510,0.502,0,8,0.0,144,182,0.791,20,126,146,561,85,16,145,141,656
422,1993-94,00,1610612744,GOS,29.0,82,70,2332,356,724,0.492,0,12,0.0,178,253,0.704,41,135,176,433,113,8,172,160,890
422,1994-95,00,1610612759,SAN,30.0,82,82,3011,448,863,0.519,3,22,0.136,202,295,0.685,49,159,208,670,114,13,207,154,1101
422,1995-96,00,1610612759,SAN,31.0,82,82,3084,438,887,0.494,6,31,0.194,189,262,0.721,37,169,206,789,119,21,195,179,1071
422,1996-97,00,1610612759,SAS,32.0,76,76,2473,327,685,0.477,6,26,0.231,140,203,0.69,32,115,147,513,96,15,146,158,800
422,1997-98,00,1610612759,SAS,33.0,75,73,2674,321,671,0.478,2,13,0.154,122,168,0.726,30,120,150,591,84,18,165,140,766
422,1998-99,00,1610612759,SAS,34.0,50,50,1672,218,461,0.473,1,12,0.083,50,88,0.568,22,96,118,369,51,11,112,101,487
422,1999-00,00,1610612759,SAS,35.0,82,82,2571,402,850,0.473,1,9,0.111,114,155,0.735,33,125,158,491,76,18,140,150,919
422,2000-01,00,1610612759,SAS,36.0,55,20,1290,134,300,0.447,1,6,0.167,41,60,0.683,21,64,85,237,33,4,60,90,310
422,2001-02,00,1610612743,DEN,37.0,51,13,1203,186,383,0.486,0,5,0.0,109,146,0.747,14,50,64,258,35,8,67,69,481
422,2001-02,00,1610612742,DAL,37.0,17,0,151,21,49,0.429,0,0,0.0,12,17,0.706,0,5,5,28,5,1,9,17,54
422,2001-02,00,0,TOT,37.0,68,13,1354,207,432,0.479,0,5,0.0,121,163,0.742,14,55,69,286,40,9,76,86,535
422,2002-03,00,1610612742,DAL,38.0,48,0,430,63,150,0.42,0,2,0.0,30,39,0.769,10,21,31,64,15,1,29,26,156
422,2003-04,00,1610612744,GSW,39.0,46,1,637,80,199,0.402,0,3,0.0,52,78,0.667,3,30,33,111,26,3,51,34,212
