PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
201571,2008-09,00,1610612766,CHA,21.0,72,12,1908,267,621,0.43,108,246,0.439,208,233,0.893,17,116,133,250,42,2,119,140,850
201571,2009-10,00,1610612766,CHA,22.0,80,2,1472,168,435,0.386,70,178,0.393,102,131,0.779,11,86,97,193,45,5,74,127,508
201571,2010-11,00,1610612766,CHA,23.0,82,82,2757,399,958,0.416,111,333,0.333,269,297,0.906,38,187,225,498,54,3,155,152,1178
201571,2011-12,00,1610612766,CHA,24.0,48,46,1408,183,487,0.376,61,179,0.341,105,120,0.875,24,85,109,307,36,1,110,65,532
201571,2012-13,00,1610612754,IND,25.0,76,5,1226,103,294,0.35,67,190,0.353,83,99,0.838,20,71,91,170,34,3,68,64,356
201571,2013-14,00,1610612761,TOR,26.0,10,0,82,7,24,0.292,1,11,0.091,6,6,1.0,0,4,4,10,1,0,9,7,21
201571,2013-14,00,1610612741,CHI,26.0,61,9,1857,291,694,0.419,132,321,0.411,195,221,0.882,15,111,126,303,52,3,116,140,909
201571,2013-14,00,0,TOT,26.0,71,9,1939,298,718,0.415,133,332,0.401,201,227,0.885,15,115,130,313,53,3,125,147,930
201571,2014-15,00,1610612765,DET,27.0,54,13,1287,189,461,0.41,49,150,0.327,147,169,0.87,13,87,100,265,33,2,110,61,574
201571,2014-15,00,1610612760,OKC,27.0,28,1,677,69,186,0.371,34,96,0.354,31,36,0.861,7,54,61,88,16,1,35,32,203
201571,2014-15,00,0,TOT,27.0,82,14,1964,258,647,0.399,83,246,0.337,178,205,0.868,20,141,161,353,49,3,145,93,777
201571,2015-16,00,1610612760,OKC,28.0,34,0,519,46,121,0.38,24,61,0.393,26,34,0.765,5,38,43,66,13,2,30,41,142
201571,2015-16,00,1610612743,DEN,28.0,28,0,659,102,229,0.445,44,107,0.411,77,94,0.819,3,49,52,132,25,2,54,44,325
201571,2015-16,00,0,TOT,28.0,62,0,1178,148,350,0.423,68,168,0.405,103,128,0.805,8,87,95,198,38,4,84,85,467
201571,2016-17,00,1610612753,ORL,29.0,78,20,1538,195,517,0.377,95,274,0.347,131,161,0.814,15,102,117,209,31,1,90,101,616
201571,2017-18,00,1610612753,ORL,30.0,75,36,1760,244,540,0.452,114,272,0.419,164,189,0.868,30,130,160,287,54,0,123,94,766
201571,2018-19,00,1610612753,ORL,31.0,81,81,2269,318,677,0.47,131,311,0.421,181,209,0.866,41,162,203,426,52,4,128,115,948
201571,2019-20,00,1610612753,ORL,32.0,57,13,1420,184,461,0.399,70,201,0.348,161,181,0.89,22,100,122,262,34,1,86,72,599
201571,2020-21,00,1610612749,MIL,33.0,37,6,713,71,192,0.37,49,129,0.38,36,40,0.9,11,39,50,110,20,1,34,33,227
201571,2020-21,00,1610612745,HOU,33.0,20,6,416,64,151,0.424,34,88,0.386,49,54,0.907,9,35,44,78,8,0,31,23,211
201571,2020-21,00,0,TOT,33.0,57,12,1129,135,343,0.394,83,217,0.382,85,94,0.904,20,74,94,188,28,1,65,56,438
201571,2021-22,00,1610612745,HOU,34.0,34,2,510,55,136,0.404,39,96,0.406,33,38,0.868,7,34,41,74,10,0,45,17,182
201571,2021-22,00,1610612747,LAL,34.0,21,0,373,39,86,0.453,29,68,0.426,5,5,1.0,4,23,27,33,7,1,11,22,112
201571,2021-22,00,0,TOT,34.0,55,2,883,94,222,0.423,68,164,0.415,38,43,0.884,11,57,68,107,17,1,56,39,294
