PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
77998,1976-77,00,1610612754,IND,27.0,80,,1966,369,811,0.455,,,,213,256,0.832,171,383,554,158,55,37,,169,951
77998,1977-78,00,1610612747,LAL,28.0,55,,679,104,249,0.418,,,,50,65,0.769,53,126,179,40,19,14,37.0,71,258
77998,1977-78,00,1610612754,IND,28.0,23,,598,73,181,0.403,,,,50,64,0.781,47,126,173,48,20,15,34.0,59,196
77998,1977-78,00,0,TOT,28.0,78,,1277,177,430,0.412,,,,100,129,0.775,100,252,352,88,39,29,71.0,130,454
77998,1978-79,00,1610612747,LAL,29.0,80,,1219,150,336,0.446,,,,86,115,0.748,82,203,285,97,20,25,53.0,108,386
77998,1979-80,00,1610612739,CLE,30.0,82,,2670,489,940,0.52,0.0,3.0,0.0,277,329,0.842,225,433,658,192,53,53,138.0,211,1255
77998,1980-81,00,1610612739,CLE,31.0,11,,372,37,98,0.378,0.0,0.0,0.0,29,36,0.806,27,58,85,44,7,6,14.0,21,103
77998,1980-81,00,1610612743,DEN,31.0,73,,1744,293,642,0.456,0.0,0.0,0.0,171,211,0.81,130,284,414,129,30,28,69.0,152,757
77998,1980-81,00,0,TOT,31.0,84,,2116,330,740,0.446,0.0,0.0,,200,247,0.81,157,342,499,173,37,34,83.0,173,860
77998,1981-82,00,1610612743,DEN,32.0,12,0.0,257,48,106,0.453,0.0,0.0,,48,55,0.873,14,49,63,32,3,4,13.0,29,144
77998,1982-83,00,1610612743,DEN,33.0,61,0.0,711,96,251,0.382,0.0,1.0,0.0,92,118,0.78,34,117,151,53,10,9,45.0,61,284
77998,1983-84,00,1610612743,DEN,34.0,19,0.0,141,13,40,0.325,0.0,0.0,0.0,11,13,0.846,1,20,21,13,0,1,11.0,13,37
77998,1983-84,00,1610612759,SAN,34.0,4,0.0,37,4,8,0.5,0.0,0.0,0.0,0,0,0.0,2,6,8,1,0,0,1.0,8,8
77998,1983-84,00,1610612758,KCK,34.0,8,0.0,162,18,48,0.375,0.0,0.0,0.0,11,13,0.846,12,17,29,6,3,1,0.0,15,47
77998,1983-84,00,0,TOT,34.0,31,0.0,340,35,96,0.365,0.0,0.0,0.0,22,26,0.846,15,43,58,20,3,2,12.0,36,92
