PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
57,1992-93,00,1610612747,LAL,23.0,23,0,332,45,106,0.425,2,12,0.167,50,66,0.758,24,27,51,53,22,5,50,53,142
57,1993-94,00,1610612747,LAL,24.0,65,34,1515,244,562,0.434,39,119,0.328,145,208,0.697,93,142,235,136,89,28,140,186,672
57,1994-95,00,1610612752,NYK,25.0,12,0,79,5,22,0.227,1,7,0.143,4,5,0.8,3,10,13,8,2,1,13,18,15
57,1995-96,00,1610612752,NYK,26.0,23,0,218,35,73,0.479,10,19,0.526,13,22,0.591,8,26,34,25,12,3,19,41,93
57,1995-96,00,1610612761,TOR,26.0,32,17,818,115,264,0.436,36,87,0.414,56,71,0.789,26,94,120,92,58,16,76,100,322
57,1995-96,00,0,TOT,26.0,55,17,1036,150,337,0.445,46,106,0.434,69,93,0.742,34,120,154,117,70,19,95,141,415
57,1996-97,00,1610612761,TOR,27.0,81,81,3125,396,949,0.417,147,383,0.384,237,306,0.775,85,347,432,315,201,45,200,245,1176
57,1997-98,00,1610612761,TOR,28.0,78,78,2939,458,1071,0.428,100,307,0.326,271,327,0.829,94,310,404,282,190,57,228,198,1287
57,1998-99,00,1610612761,TOR,29.0,50,50,1768,252,650,0.388,49,161,0.304,207,246,0.841,59,148,207,187,113,26,119,111,760
57,1999-00,00,1610612761,TOR,30.0,73,73,2264,311,764,0.407,99,275,0.36,182,216,0.843,63,222,285,321,102,43,144,167,903
57,2000-01,00,1610612758,SAC,31.0,81,81,2939,311,788,0.395,94,250,0.376,280,312,0.897,95,260,355,289,183,45,154,224,996
57,2001-02,00,1610612758,SAC,32.0,81,81,2796,338,735,0.46,90,256,0.352,206,242,0.851,74,300,374,340,160,25,164,209,972
57,2002-03,00,1610612758,SAC,33.0,80,80,2710,267,557,0.479,73,185,0.395,141,174,0.81,61,281,342,376,180,37,144,186,748
57,2003-04,00,1610612758,SAC,34.0,82,82,2779,317,688,0.461,49,142,0.345,148,172,0.86,69,260,329,347,151,41,155,186,831
57,2004-05,00,1610612758,SAC,35.0,31,31,997,83,204,0.407,10,39,0.256,50,56,0.893,29,94,123,153,43,13,68,61,226
57,2004-05,00,1610612753,ORL,35.0,21,13,528,47,128,0.367,5,23,0.217,20,22,0.909,9,45,54,46,37,5,36,45,119
57,2004-05,00,0,TOT,35.0,52,44,1525,130,332,0.392,15,62,0.242,70,78,0.897,38,139,177,199,80,18,104,106,345
57,2005-06,00,1610612742,DAL,36.0,7,7,185,9,26,0.346,0,1,0.0,8,12,0.667,2,11,13,14,9,1,6,10,26
57,2006-07,00,1610612746,LAC,37.0,7,0,82,5,17,0.294,1,6,0.167,2,3,0.667,3,8,11,8,3,1,5,11,13
