PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203087,2012-13,00,1610612760,OKC,21.0,23,0,147,24,68,0.353,9,30,0.3,14,14,1.0,5,13,18,5,2,2,6,13,71
203087,2013-14,00,1610612760,OKC,22.0,78,0,1538,263,609,0.432,88,247,0.356,51,64,0.797,27,162,189,115,56,26,61,143,665
203087,2014-15,00,1610612760,OKC,23.0,47,8,633,104,250,0.416,38,111,0.342,49,55,0.891,8,99,107,44,21,6,27,52,295
203087,2015-16,00,1610612766,CHA,24.0,66,0,1227,230,510,0.451,56,181,0.309,64,88,0.727,44,208,252,77,42,30,50,105,580
203087,2016-17,00,1610612766,CHA,25.0,62,5,1143,226,491,0.46,41,146,0.281,110,129,0.853,30,234,264,75,27,23,40,98,603
203087,2017-18,00,1610612766,CHA,26.0,80,18,1967,380,832,0.457,94,254,0.37,179,208,0.861,49,275,324,186,61,32,93,138,1033
203087,2018-19,00,1610612766,CHA,27.0,79,55,2250,431,979,0.44,115,330,0.348,231,260,0.888,65,369,434,172,88,32,80,140,1208
203087,2019-20,00,1610612754,IND,28.0,46,42,1291,216,479,0.451,53,158,0.335,92,110,0.836,24,176,200,96,55,22,50,104,577
203087,2020-21,00,1610612754,IND,29.0,36,8,765,120,276,0.435,52,128,0.406,71,75,0.947,25,106,131,53,34,23,22,72,363
203087,2021-22,00,1610612754,IND,30.0,39,0,613,85,228,0.373,39,117,0.333,67,80,0.838,15,79,94,51,23,14,24,44,276
203087,2021-22,00,1610612758,SAC,30.0,17,0,322,48,119,0.403,16,53,0.302,22,26,0.846,11,49,60,30,8,8,13,15,134
203087,2021-22,00,0,TOT,30.0,56,0,936,133,347,0.383,55,170,0.324,89,106,0.84,26,128,154,81,31,22,37,59,410
