PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1626149,2015-16,00,1610612745,HOU,22.0,39,1,379,58,90,0.644,0,1,0.0,24,46,0.522,25,40,65,17,11,11,17,48,140
1626149,2016-17,00,1610612745,HOU,23.0,58,14,1064,225,345,0.652,1,7,0.143,76,121,0.628,81,138,219,64,20,42,44,126,527
1626149,2017-18,00,1610612746,LAC,24.0,76,3,1293,348,548,0.635,1,7,0.143,139,222,0.626,103,203,306,74,36,52,68,143,836
1626149,2018-19,00,1610612746,LAC,25.0,82,5,2158,546,888,0.615,3,17,0.176,266,414,0.643,184,351,535,162,71,110,132,255,1361
1626149,2019-20,00,1610612746,LAC,26.0,63,2,1749,471,812,0.58,0,18,0.0,231,351,0.658,163,282,445,107,39,72,108,146,1173
1626149,2020-21,00,1610612747,LAL,27.0,69,1,1580,375,603,0.622,0,10,0.0,181,256,0.707,158,270,428,73,46,49,74,128,931
1626149,2021-22,00,1610612764,WAS,28.0,46,3,1117,247,383,0.645,4,15,0.267,149,205,0.727,96,213,309,96,18,31,50,88,647
1626149,2021-22,00,1610612766,CHA,28.0,25,0,523,111,172,0.645,0,2,0.0,63,91,0.692,53,69,122,49,11,12,22,49,285
1626149,2021-22,00,0,TOT,28.0,71,3,1640,358,555,0.645,4,17,0.235,212,296,0.716,149,282,431,145,29,43,72,137,932
1626149,2022-23,00,1610612755,PHI,29.0,57,7,681,125,209,0.598,0,6,0.0,70,101,0.693,67,92,159,33,17,25,35,75,320
