PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
77962,1967-68,00,1610612745,SDR,23.0,80,,1263,250,660,0.379,,,,128,202,0.634,,,177,138,,,,205,628
77962,1968-69,00,1610612745,SDR,24.0,56,,1027,202,498,0.406,,,,90,134,0.672,,,112,136,,,,146,494
77962,1969-70,00,1610612745,SDR,25.0,36,,474,75,180,0.417,,,,40,55,0.727,,,57,85,,,,68,190
77962,1970-71,00,1610612747,LAL,26.0,54,,506,105,254,0.413,,,,56,87,0.644,,,54,72,,,,84,266
77962,1971-72,00,1610612747,LAL,27.0,67,,926,197,441,0.447,,,,55,74,0.743,,,127,75,,,,110,449
77962,1972-73,00,1610612747,LAL,28.0,55,,801,167,390,0.428,,,,65,82,0.793,,,65,81,,,,126,399
77962,1973-74,00,1610612747,LAL,29.0,72,,1361,287,667,0.43,,,,110,144,0.764,38.0,90.0,128,148,54.0,3.0,,173,684
77962,1974-75,00,1610612747,LAL,30.0,46,,1016,219,523,0.419,,,,69,93,0.742,25.0,60.0,85,121,36.0,4.0,,128,507
77962,1975-76,00,1610612756,PHX,31.0,60,,790,112,288,0.389,,,,54,74,0.73,15.0,32.0,47,57,21.0,5.0,,107,278
77962,1975-76,00,1610612747,LAL,31.0,2,,23,5,13,0.385,,,,1,3,0.333,1.0,2.0,3,0,1.0,1.0,,5,11
77962,1975-76,00,0,TOT,31.0,62,,813,117,301,0.389,,,,55,77,0.714,16.0,34.0,50,57,22.0,6.0,,112,289
