PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203082,2012-13,00,1610612761,TOR,22.0,73,2,1239,186,457,0.407,65,196,0.332,30,42,0.714,35,109,144,53,43,14,48,122,467
203082,2013-14,00,1610612761,TOR,23.0,81,62,2159,318,751,0.423,161,408,0.395,82,98,0.837,43,209,252,79,64,27,88,183,879
203082,2014-15,00,1610612761,TOR,24.0,82,61,2092,309,753,0.41,145,390,0.372,44,56,0.786,32,194,226,86,53,25,69,136,807
203082,2015-16,00,1610612761,TOR,25.0,73,7,1747,270,626,0.431,131,339,0.386,49,62,0.79,21,164,185,56,54,25,46,120,720
203082,2016-17,00,1610612761,TOR,26.0,54,0,1207,211,479,0.441,96,256,0.375,41,50,0.82,14,124,138,45,53,20,33,82,559
203082,2016-17,00,1610612753,ORL,26.0,24,24,748,115,267,0.431,46,135,0.341,23,27,0.852,4,64,68,43,34,13,35,61,299
203082,2016-17,00,0,TOT,26.0,78,24,1955,326,746,0.437,142,391,0.363,64,77,0.831,18,188,206,88,87,33,68,143,858
203082,2017-18,00,1610612753,ORL,27.0,24,20,600,76,191,0.398,30,93,0.323,27,36,0.75,10,63,73,38,27,11,29,45,209
203082,2018-19,00,1610612753,ORL,28.0,81,0,2150,440,1027,0.428,217,566,0.383,126,144,0.875,27,253,280,135,72,29,90,119,1223
203082,2019-20,00,1610612753,ORL,29.0,69,0,1889,341,846,0.403,177,504,0.351,157,184,0.853,13,209,222,82,77,24,70,109,1016
203082,2020-21,00,1610612753,ORL,30.0,46,2,1347,254,616,0.412,89,264,0.337,120,138,0.87,15,143,158,108,47,21,74,88,717
203082,2021-22,00,1610612753,ORL,31.0,63,0,1448,220,554,0.397,77,264,0.292,112,130,0.862,20,141,161,116,28,12,75,68,629
203082,2022-23,00,1610612753,ORL,32.0,42,9,944,129,299,0.431,61,160,0.381,15,20,0.75,10,75,85,54,25,8,37,53,334
203082,2022-23,00,1610612756,PHX,32.0,21,0,386,71,166,0.428,34,98,0.347,12,14,0.857,12,57,69,41,10,2,6,44,188
203082,2022-23,00,0,TOT,32.0,63,9,1331,200,465,0.43,95,258,0.368,27,34,0.794,22,132,154,95,35,10,43,97,522
