PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
203115,2012-13,00,1610612757,POR,22.0,73,5,894,118,309,0.382,9,65,0.138,50,65,0.769,36,109,145,58,34,9,60,56,295
203115,2013-14,00,1610612757,POR,23.0,41,0,387,65,156,0.417,10,33,0.303,26,32,0.813,16,58,74,33,9,7,18,31,166
203115,2014-15,00,1610612757,POR,24.0,30,0,300,38,100,0.38,4,18,0.222,10,15,0.667,3,31,34,27,14,4,17,20,90
203115,2014-15,00,1610612743,DEN,24.0,28,0,683,112,253,0.443,19,67,0.284,64,79,0.81,23,105,128,54,34,15,44,50,307
203115,2014-15,00,0,TOT,24.0,58,0,984,150,353,0.425,23,85,0.271,74,94,0.787,26,136,162,81,48,19,61,70,397
203115,2015-16,00,1610612743,DEN,25.0,82,1,2353,425,983,0.432,112,325,0.345,216,268,0.806,59,417,476,203,71,39,139,147,1178
203115,2016-17,00,1610612743,DEN,26.0,60,19,1705,295,666,0.443,87,235,0.37,143,190,0.753,58,201,259,206,48,28,97,110,820
203115,2017-18,00,1610612743,DEN,27.0,81,40,2683,465,1028,0.452,156,422,0.37,182,226,0.805,70,339,409,331,82,52,149,168,1268
203115,2018-19,00,1610612743,DEN,28.0,43,38,1189,185,460,0.402,67,196,0.342,57,74,0.77,32,167,199,124,18,22,65,82,494
203115,2019-20,00,1610612743,DEN,29.0,58,58,1916,332,738,0.45,108,288,0.375,102,133,0.767,76,289,365,212,61,29,88,121,874
203115,2020-21,00,1610612743,DEN,30.0,56,52,1736,259,608,0.426,98,257,0.381,95,121,0.785,39,187,226,181,50,23,96,95,711
203115,2021-22,00,1610612743,DEN,31.0,71,71,2276,392,896,0.438,157,430,0.365,102,127,0.803,44,296,340,276,55,31,127,114,1043
203115,2022-23,00,1610612764,WAS,32.0,40,0,782,110,285,0.386,52,138,0.377,35,45,0.778,10,101,111,95,17,10,45,39,307
203115,2022-23,00,1610612761,TOR,32.0,16,2,211,28,79,0.354,14,42,0.333,2,2,1.0,5,21,26,17,11,3,3,17,72
203115,2022-23,00,0,TOT,32.0,56,2,993,138,364,0.379,66,180,0.367,37,47,0.787,15,122,137,112,28,13,48,56,379
